,client_id,gender,car_owner,property_owner,number_of_children,annual_income,income_type,education,marital_status,housing_type,employed_days,work_phone,phone,email_id,number_of_family_members,label,age_in_years,years_of_experience,employment_status
356,5105150,F,N,Y,0,90000.0,Working,Higher education,Married,House / apartment,-1763,0,0,0,2,0,51.89041095890411,2.1977572628253035,Employed
357,5045253,F,N,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-3689,0,0,0,3,0,57.134246575342466,3.17912713100129,Employed
358,5100000,F,N,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3414,0,0,0,3,0,41.71506849315068,3.0583369104031437,Employed
359,5029725,F,N,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,-2910,1,0,1,3,0,26.78904109589041,2.8235797739263586,Employed
360,5090925,F,N,Y,0,243000.0,Commercial associate,Secondary / secondary special,Married,With parents,-3412,0,0,0,2,0,46.57534246575342,3.057440956989922,Employed
361,5115947,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1107,0,0,0,1,0,26.263013698630136,1.7415156365444344,Employed
362,5028572,F,N,Y,0,112500.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,2,0,60.443835616438356,2.313154757362086,Unemployed
364,5149040,F,N,Y,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-3608,0,0,0,2,0,54.10958904109589,3.1440310919024506,Employed
365,5113291,F,Y,Y,2,121500.0,Working,Incomplete higher,Married,House / apartment,-101,1,1,0,4,0,31.03287671232877,0.5260345319150856,Employed
366,5139951,F,Y,Y,0,121500.0,State servant,Secondary / secondary special,Married,House / apartment,-3231,1,0,0,2,0,54.76164383561644,2.9752402918958576,Employed
367,5028697,M,Y,N,1,270000.0,Working,Higher education,Married,Rented apartment,-203,0,1,0,3,0,29.635616438356163,0.7457642949093526,Employed
368,5148527,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,64.01369863013699,2.313154757362086,Unemployed
369,5009443,F,N,N,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-1682,0,1,0,2,0,25.997260273972604,2.1466763095730554,Employed
370,5096621,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1589,0,1,0,3,0,39.61917808219178,2.08648619874042,Employed
371,5149150,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-3577,1,0,0,2,0,30.005479452054793,3.1304951684997055,Employed
372,5118448,F,N,N,1,76500.0,Working,Secondary / secondary special,Married,House / apartment,-735,1,0,0,3,0,27.616438356164384,1.4190484946389206,Employed
374,5022833,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-1617,0,0,0,2,0,47.293150684931504,2.1047890598113077,Employed
375,5086006,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,0,0,1,0,58.895890410958906,2.313154757362086,Unemployed
376,5010397,F,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,-1591,1,1,0,3,0,38.76164383561644,2.0877988671299352,Employed
377,5047789,F,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-979,0,0,0,2,0,28.649315068493152,1.637739839175294,Employed
379,5150047,F,N,Y,0,283500.0,Working,Secondary / secondary special,Married,House / apartment,-655,0,0,0,2,0,49.2,1.3395971588299243,Employed
380,5035791,F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,0,0,1,0,60.2,2.313154757362086,Unemployed
381,5021682,M,N,Y,0,234600.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-3653,0,0,0,1,0,51.35616438356164,3.163576959405633,Employed
382,5088699,F,Y,Y,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,-1261,0,0,0,2,0,48.11506849315069,1.8587077555516751,Employed
384,5023460,F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,1,0,57.56712328767123,2.313154757362086,Unemployed
386,5146472,F,Y,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-3810,0,0,0,2,0,38.72054794520548,3.2308444970910566,Employed
387,5024527,F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,1,0,57.443835616438356,2.313154757362086,Unemployed
389,5068156,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-3246,0,0,0,2,0,53.602739726027394,2.9821386092754825,Employed
390,5117756,M,Y,N,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,-1649,0,0,0,2,0,43.865753424657534,2.125513636554252,Employed
392,5143164,F,N,N,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1353,1,0,0,4,0,37.78356164383562,1.925317977651612,Employed
394,5135841,F,N,Y,1,36000.0,Working,Secondary / secondary special,Married,House / apartment,-1113,0,1,0,3,0,34.01917808219178,1.7462288133269221,Employed
395,5023059,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-508,0,0,0,3,0,30.9013698630137,1.179737607232137,Employed
396,5125325,M,Y,N,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2722,0,0,0,2,0,57.18904109589041,2.730848631208867,Employed
397,5135574,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-992,0,0,0,2,0,32.18904109589041,1.6485776351685966,Employed
398,5009053,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,-2289,0,0,1,4,0,30.12876712328767,2.504242974775477,Employed
400,5029108,M,Y,N,1,315000.0,State servant,Secondary / secondary special,Married,House / apartment,-3643,0,0,1,3,0,36.24657534246575,3.1592438838760484,Employed
401,5091400,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,With parents,-869,0,0,0,2,0,33.63835616438356,1.5429912241513946,Employed
402,5050768,F,N,N,2,337500.0,Working,Secondary / secondary special,Married,House / apartment,-2174,0,0,0,4,0,30.10958904109589,2.4405254318612712,Employed
403,5113420,F,N,N,1,157500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-5336,0,0,0,2,0,34.83835616438356,3.8235033780803414,Employed
404,5113132,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3535,0,0,0,2,0,52.14520547945205,3.112062259475108,Employed
405,5062670,F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,-4407,0,0,0,3,0,40.72054794520548,3.4747622368645206,Employed
406,5029352,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-412,0,0,0,2,0,29.97808219178082,1.0624345265886606,Employed
407,5105067,M,N,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,-453,1,1,0,2,0,37.484931506849314,1.114044833214067,Employed
408,5143573,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,-960,1,0,0,2,0,24.997260273972604,1.6217697081587663,Employed
409,5045203,F,Y,Y,0,139500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,57.558904109589044,2.313154757362086,Unemployed
410,5065673,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-4711,0,0,0,1,0,31.53972602739726,3.5926103761844943,Employed
411,5029544,F,Y,Y,1,133650.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1965,0,0,0,3,0,39.989041095890414,2.320250340768344,Employed
413,5111159,F,Y,Y,1,81000.0,Working,Higher education,Married,House / apartment,-1393,1,1,0,3,0,29.172602739726027,1.9535706683312952,Employed
414,5099957,F,Y,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,-460,0,0,0,3,0,30.791780821917808,1.122619246495774,Employed
415,5143360,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-2234,1,1,0,2,0,62.49589041095891,2.4739741197525653,Employed
416,5091753,M,Y,N,2,135000.0,Working,Higher education,Married,House / apartment,-1631,0,0,0,4,0,34.863013698630134,2.1138810635144383,Employed
417,5117403,F,N,N,0,94500.0,Working,Secondary / secondary special,Married,House / apartment,-1619,0,0,0,2,0,45.912328767123284,2.1060903205599146,Employed
418,5149319,F,Y,Y,1,180000.0,Working,Higher education,Separated,House / apartment,-5981,0,0,0,2,0,51.61095890410959,4.047999675131288,Employed
419,5137542,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-3153,1,0,0,2,0,51.728767123287675,2.9391080559216536,Employed
420,5095170,M,Y,Y,0,252000.0,Commercial associate,Higher education,Married,House / apartment,-2682,0,0,0,2,0,37.797260273972604,2.7107093546670495,Employed
421,5090780,F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-3443,0,0,0,3,0,33.00547945205479,3.0712988640522703,Employed
422,5092242,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-2330,0,0,0,2,0,56.86027397260274,2.526571123842671,Employed
423,5068671,M,N,Y,0,247500.0,Working,Incomplete higher,Married,House / apartment,-413,0,0,0,2,0,25.09315068493151,1.063723107446232,Employed
424,5143427,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,1,0,64.1945205479452,2.313154757362086,Unemployed
426,5052739,F,N,Y,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-505,0,0,1,4,0,28.64109589041096,1.1762489718744142,Employed
427,5068747,F,N,N,0,157500.0,Working,Higher education,Civil marriage,With parents,-201,0,0,0,2,0,36.24931506849315,0.7420814857593803,Employed
428,5025029,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,54.83013698630137,2.313154757362086,Unemployed
429,5149353,M,Y,Y,0,234600.0,Commercial associate,Higher education,Married,House / apartment,-3273,0,0,0,2,0,33.446575342465756,2.994515534718635,Employed
430,5022571,M,Y,Y,0,202500.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,2,0,59.50958904109589,2.313154757362086,Unemployed
431,5024578,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,-1462,0,0,0,3,0,28.09041095890411,2.0013693942035773,Employed
432,5058405,M,Y,Y,0,247500.0,Working,Higher education,Married,House / apartment,-2609,0,0,0,2,0,35.18630136986302,2.673564139024806,Employed
433,5041869,M,Y,N,0,99000.0,State servant,Secondary / secondary special,Married,House / apartment,-521,1,1,0,2,0,53.24109589041096,1.1947373185240229,Employed
434,5115894,M,Y,N,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1321,0,0,0,2,0,47.821917808219176,1.9024137515776585,Employed
435,5062749,M,Y,N,1,202500.0,State servant,Higher education,Married,House / apartment,-2467,0,0,0,3,0,36.676712328767124,2.599789243302049,Employed
436,5045611,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-716,0,0,0,4,0,32.224657534246575,1.4005869611046786,Employed
437,5113288,F,Y,Y,2,121500.0,Working,Incomplete higher,Married,House / apartment,-101,1,1,0,4,0,31.03287671232877,0.5260345319150856,Employed
438,5053003,F,Y,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,-1632,1,1,0,2,0,25.723287671232878,2.114528996422685,Employed
439,5118038,F,N,N,2,121500.0,Working,Higher education,Married,House / apartment,-614,0,0,0,4,0,32.04657534246575,1.2969933619035672,Employed
440,5091405,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1904,1,0,0,1,0,48.16164383561644,2.283952354180004,Employed
441,5137022,F,N,N,0,180000.0,State servant,Secondary / secondary special,Widow,House / apartment,-351,1,1,0,1,0,49.81095890410959,0.9806344046669169,Employed
443,5085704,M,Y,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,53.35342465753425,2.313154757362086,Unemployed
445,5038751,M,Y,Y,2,157500.0,Commercial associate,Higher education,Married,With parents,-626,0,0,0,4,0,38.88219178082192,1.3096062359162333,Employed
448,5061321,F,Y,Y,1,261000.0,State servant,Higher education,Married,House / apartment,-1628,0,0,0,3,0,41.23287671232877,2.111936072091847,Employed
449,5139410,F,Y,Y,2,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-6094,1,0,0,4,0,39.558904109589044,4.086060500158912,Employed
450,5048486,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-734,1,1,0,2,0,35.59452054794521,1.4180828269567294,Employed
451,5139658,F,N,Y,0,157500.0,Pensioner,Lower secondary,Married,House / apartment,365243,0,0,0,2,0,64.33698630136986,2.313154757362086,Unemployed
452,5091280,M,N,Y,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,-657,1,0,0,3,0,32.38904109589041,1.3416407864998738,Employed
453,5023186,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-2700,0,1,0,2,0,47.21917808219178,2.7197904834697475,Employed
454,5054307,M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-880,0,0,0,3,0,27.715068493150685,1.5527262811292881,Employed
455,5116879,F,N,N,0,112500.0,Working,Higher education,Single / not married,With parents,-157,1,1,0,1,0,30.304109589041097,0.6558482951882774,Employed
456,5050453,M,N,Y,1,231750.0,Working,Secondary / secondary special,Married,House / apartment,-135,0,0,0,3,0,39.032876712328765,0.6081636405595373,Employed
457,5022804,F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,-1497,0,0,0,1,0,32.87123287671233,2.025183908442317,Employed
458,5091374,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-1266,1,1,0,2,0,42.0986301369863,1.8623890975531756,Employed
459,5135484,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-1935,0,0,0,1,0,29.205479452054796,2.302470382657223,Employed
460,5054188,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-515,0,1,0,2,0,31.205479452054796,1.1878379115475264,Employed
461,5054626,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,0,0,1,0,60.367123287671234,2.313154757362086,Unemployed
462,5068548,M,Y,Y,0,117000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1023,0,0,0,2,0,53.016438356164386,1.674138502641701,Employed
463,5053472,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-2129,1,1,0,2,0,50.728767123287675,2.4151349263195976,Employed
464,5105395,F,N,Y,0,135000.0,Working,Incomplete higher,Single / not married,House / apartment,-575,0,0,0,1,0,29.95068493150685,1.2551264740070718,Employed
465,5029554,F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,0,0,1,0,65.07123287671233,2.313154757362086,Unemployed
466,5089722,F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-3262,1,1,1,1,0,48.26575342465753,2.98947926926578,Employed
467,5066562,F,N,N,0,180000.0,Commercial associate,Incomplete higher,Married,With parents,-430,1,0,1,2,0,22.594520547945205,1.0853949473720717,Employed
469,5010203,M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,-1866,0,0,1,2,0,27.345205479452055,2.2610459453808733,Employed
470,5024665,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-4568,1,1,0,2,0,39.52054794520548,3.537664270836152,Employed
471,5089626,F,N,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-309,1,1,1,2,0,44.35068493150685,0.9200952898834737,Employed
472,5021373,F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,-578,0,0,1,2,0,60.54794520547945,1.258396457335929,Employed
474,5051180,M,Y,N,1,181048.75730622618,Working,Secondary / secondary special,Married,House / apartment,-1931,0,1,0,3,0,35.85205479452055,2.30008933715717,Employed
475,5143515,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,1,0,63.78082191780822,2.313154757362086,Unemployed
477,5096300,F,N,N,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2257,0,0,0,3,0,25.534246575342465,2.486676827381398,Employed
478,5148897,M,N,Y,0,90900.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,60.912328767123284,2.313154757362086,Unemployed
480,5092164,F,Y,Y,0,45900.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,1,0,55.56712328767123,2.313154757362086,Unemployed
481,5053143,M,N,Y,1,126000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-140,0,1,0,3,0,33.701369863013696,0.6193235372853323,Employed
482,5038510,F,N,Y,0,103500.0,Working,Incomplete higher,Married,House / apartment,-4583,0,0,0,2,0,32.47945205479452,3.5434678471183627,Employed
483,5023482,F,N,Y,1,119250.0,Working,Secondary / secondary special,Married,House / apartment,-4404,1,1,0,3,0,43.64657534246575,3.473579339047481,Employed
484,5054099,M,Y,N,2,202500.0,Working,Higher education,Married,House / apartment,-727,0,0,0,4,0,32.153424657534245,1.4113046524113098,Employed
485,5062713,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-3805,0,0,0,3,0,39.75342465753425,3.2287238243997542,Employed
486,5088851,F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,-2316,0,0,1,2,0,31.104109589041094,2.5189691303094714,Employed
487,5111117,F,N,Y,1,315000.0,Working,Higher education,Married,House / apartment,-1455,0,0,0,3,0,31.786301369863015,1.996572405364507,Employed
488,5118115,M,N,N,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-5422,1,1,0,3,0,37.09041095890411,3.8541918115926643,Employed
489,5024258,M,N,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-581,0,0,0,1,0,31.493150684931507,1.2616579655032534,Employed
490,5113976,M,Y,N,0,270000.0,Working,Incomplete higher,Married,House / apartment,-893,1,1,1,2,0,32.75342465753425,1.5641532349695644,Employed
491,5099907,F,N,Y,2,112500.0,Working,Incomplete higher,Married,House / apartment,-1860,0,0,0,4,0,29.936986301369863,2.257407896450906,Employed
492,5092332,F,N,Y,0,58500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,1,0,1,0,68.34520547945205,2.313154757362086,Unemployed
494,5078924,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-1000,0,1,0,2,0,44.153424657534245,1.655211777204736,Employed
495,5068390,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,-140,0,1,1,2,0,38.4986301369863,0.6193235372853323,Employed
496,5046036,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,365243,0,0,0,2,0,58.97808219178082,2.313154757362086,Unemployed
497,5033788,F,N,Y,1,315000.0,Working,Higher education,Separated,House / apartment,-4766,1,1,0,2,0,43.11780821917808,3.613521031705135,Employed
498,5010781,F,Y,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,-2259,0,0,1,3,0,39.654794520547945,2.487778345409898,Employed
499,5022761,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-1344,0,0,1,2,0,26.824657534246576,1.9189037966562883,Employed
500,5041980,F,N,N,0,211500.0,Commercial associate,Higher education,Married,With parents,-4690,1,1,0,2,0,40.0986301369863,3.584594128837064,Employed
502,5126612,F,Y,N,0,180000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,1,0,55.87671232876713,2.313154757362086,Unemployed
503,5132264,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,-2052,0,1,0,2,0,43.9461426596527,2.371058373009652,Employed
504,5142136,F,N,N,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-5004,0,0,0,4,0,46.57808219178082,3.7026462214335156,Employed
505,5088163,F,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-923,0,0,0,1,0,35.4027397260274,1.5902097733593739,Employed
506,5146086,M,N,N,0,148500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-1193,0,0,1,1,0,38.69041095890411,1.8078974392052585,Employed
508,5041474,F,N,Y,0,90000.0,Commercial associate,Higher education,Married,House / apartment,-793,0,0,1,2,0,24.673972602739727,1.4739751489513069,Employed
509,5025020,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,58.93698630136986,2.313154757362086,Unemployed
510,5118270,F,N,N,0,99000.0,Working,Secondary / secondary special,Married,With parents,-5453,1,0,0,2,0,53.605479452054794,3.8651941771917824,Employed
511,5095324,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,1,0,62.61369863013699,2.313154757362086,Unemployed
512,5142290,F,N,Y,1,162000.0,State servant,Higher education,Civil marriage,House / apartment,-88,0,0,0,3,0,41.16986301369863,0.49101516311714744,Employed
513,5148792,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-5495,0,0,0,1,0,47.80821917808219,3.880050839943717,Employed
514,5062031,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-593,0,1,1,1,0,26.542465753424658,1.2746205452002473,Employed
516,5035418,F,N,Y,0,292500.0,Working,Higher education,Married,House / apartment,-4816,0,0,0,2,0,57.83835616438356,3.632426261873076,Employed
517,5089896,F,N,Y,0,67500.0,Pensioner,Higher education,Single / not married,Municipal apartment,365243,0,0,1,1,0,64.91506849315068,2.313154757362086,Unemployed
518,5137407,F,N,N,0,157500.0,Working,Higher education,Separated,House / apartment,-3000,0,0,0,1,0,47.224657534246575,2.86691089540498,Employed
520,5095117,F,N,Y,0,67500.0,Working,Higher education,Married,House / apartment,-1586,0,0,0,2,0,39.013698630136986,2.084515646247841,Employed
521,5067419,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,63.92876712328767,2.313154757362086,Unemployed
522,5041307,F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,63.33698630136986,2.313154757362086,Unemployed
523,5146401,F,N,Y,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,-2104,1,0,0,1,0,53.92328767123288,2.400913068322932,Employed
524,5105137,F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1032,0,0,0,1,0,27.279452054794522,1.6814866220918834,Employed
526,5146467,M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,-1923,0,0,0,2,0,27.350684931506848,2.29531983625048,Employed
527,5113082,F,N,Y,1,112500.0,Working,Higher education,Single / not married,House / apartment,-1131,0,0,0,2,0,41.92602739726028,1.7602926282258589,Employed
528,5052755,M,N,Y,0,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1175,0,0,0,2,0,28.958904109589042,1.7942068114327794,Employed
529,5092436,F,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,54.57808219178082,2.313154757362086,Unemployed
531,5113020,M,Y,Y,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,-2199,0,0,0,2,0,40.06027397260274,2.4545177803891693,Employed
532,5058267,M,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,With parents,-1912,0,0,0,3,0,48.95342465753425,2.288745543826041,Employed
533,5037247,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-926,0,0,0,4,0,33.342465753424655,1.592791983081866,Employed
534,5100461,M,Y,Y,1,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-2499,0,0,0,3,0,34.01917808219178,2.6165961366756147,Employed
535,5096753,M,Y,N,0,328500.0,Working,Higher education,Married,House / apartment,-2654,1,1,0,2,0,40.81369863013698,2.6965223671819096,Employed
536,5091778,M,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1174,1,0,0,4,0,29.791780821917808,1.793443156658271,Employed
537,5038569,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-230,0,1,0,2,0,54.723287671232875,0.7938116818876942,Employed
538,5069169,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-962,0,0,1,2,0,28.257534246575343,1.6234581726537227,Employed
539,5065820,M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-2276,0,0,0,3,0,43.9461426596527,2.497121630669232,Employed
540,5091048,F,N,Y,2,270000.0,Commercial associate,Higher education,Married,House / apartment,-2197,0,0,1,4,0,42.295890410958904,2.453401329214562,Employed
541,5097134,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-2468,1,1,0,2,0,31.183561643835617,2.600316103018331,Employed
543,5099877,F,Y,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,59.37260273972603,2.313154757362086,Unemployed
544,5033884,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-932,1,1,0,2,0,54.967123287671235,1.5979438843508387,Employed
545,5097024,M,Y,N,0,198000.0,Commercial associate,Higher education,Married,House / apartment,-2956,0,0,0,2,0,37.37808219178082,2.8458092235753085,Employed
546,5010412,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,59.87397260273973,2.313154757362086,Unemployed
547,5091144,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-1345,0,0,0,2,0,29.54794520547945,1.91961754181642,Employed
548,5088503,M,Y,Y,0,72000.0,Working,Higher education,Married,House / apartment,-619,0,0,0,2,0,59.99178082191781,1.3022635720002707,Employed
549,5126142,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,-3787,0,0,0,4,0,43.57260273972603,3.2210778422375057,Employed
550,5067020,F,Y,Y,1,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1253,0,0,1,3,0,46.99178082191781,1.852802394301337,Employed
551,5061076,M,Y,N,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-3242,1,0,0,2,0,40.893150684931506,2.9803006192030224,Employed
552,5126527,F,N,N,0,225000.0,State servant,Secondary / secondary special,Married,With parents,-196,0,1,0,2,0,33.61369863013699,0.7327934916262991,Employed
553,5078931,M,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-298,0,1,0,1,0,43.43287671232877,0.9035697848890165,Employed
555,5025207,M,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-124,0,0,0,3,0,27.126027397260273,0.5828602125700983,Employed
556,5042097,F,N,N,1,108000.0,Working,Secondary / secondary special,Separated,House / apartment,-4082,0,1,0,2,0,39.31232876712329,3.3441832551215875,Employed
558,5089137,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-5330,0,1,0,2,0,38.98082191780822,3.8213531276273587,Employed
559,5065601,M,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1266,0,1,0,2,0,57.16986301369863,1.8623890975531756,Employed
560,5112833,F,N,Y,1,90000.0,Working,Secondary / secondary special,Separated,With parents,-1017,0,1,1,2,0,36.16438356164384,1.6692217857022518,Employed
561,5024636,F,N,Y,0,181048.75730622618,Working,Secondary / secondary special,Married,House / apartment,-1128,0,0,0,2,0,54.58082191780822,1.757956472414522,Employed
562,5050549,M,N,N,2,225000.0,Working,Higher education,Civil marriage,House / apartment,-3088,1,0,0,4,0,45.93972602739726,2.9086550109290616,Employed
563,5065763,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-693,0,0,0,1,0,40.4,1.377907884071465,Employed
564,5089269,F,N,N,0,72000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1466,1,0,0,1,0,51.50410958904109,2.004105375514068,Employed
